ID,Name,Duration,AS,AF,FloorID
50,Rough Sprinkler @ 25th Floor,5,11-Mar-16,15-Mar-16,25
60,Rough Electrical @ 25th Floor,5,11-Mar-16,15-Mar-16,25
70,Frame Walls & Ceilings @ 25th Floor,5,28-Mar-16,8-Apr-16,25
80,Install Plumbing Frames & Crotons @ 25th Floor,5,11-Apr-16,15-Apr-16,25
90,Pull Wire @ 25th Floor,15,18-Apr-16,4-May-16,25
100,Firestopping & Inspections @ 25th Floor,5,5-May-16,9-May-16,25
110,Sheetrock & Tape Walls & Celings @ 25th Floor,15,,,25
120,Prime Paint @ 25th Floor,4,,,25
130,Install Mechanical Finishes @ 25th Floor,2,,,25
140,Install Sprinkler Heads @ 25th Floor,4,,,25
150,Install Plumbing Finishes @ 25th Floor,1,,,25
160,Install Electrical Finishes @ 25th Floor,4,,,25
170,Install Lighting @ 25th Floor,4,,,25
180,"Install Vanity, Sink & Shower Enclosure @ 25th Floor",6,,,25
190,Tile Bathroom Floors & Walls @ 25th Floor,12,,,25
200,Install Kitchen Cabinets @ 25th Floor,8,,,25
210,Install Kitchen Counters  @ 25th Floor,5,,,25
220,Install Kitchen Sink @ 25th Floor,3,,,25
230,Install Flooring & Carpet @ 25th Floor,6,,,25
240,Install Kitchen Appliances @ 25th Floor,5,,,25
250,Install Architectural Finishes & Trim  @ 25th Floor,10,,,25
260,Install Doors @ 25th Floor,5,,,25
270,Install Corridor Carpet @ 25th Floor,3,,,25
280,Perform Plumbing & Sprinkler Finish Inspection @ 25th Floor,1,,,25
290,Final Paint Coat on Walls & Trim @ 25th Floor,4,,,25
300,Punchlist  @ 25th Floor,5,,,25
