id,status,wbs,act_name,duration,start,finish,floor_id
NA.PFS070,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame Walls & Ceilings @ Pre-function Space,10,19-Oct-15,30-Oct-15,PFS
NA.PFS100,Not Started,BH.BL-4.115 Nassau1.Floors.4,Firestopping & Inspections @ Pre-function Space,5,19-Oct-15,18-Nov-15,PFS
NA.PFS120,Not Started,BH.BL-4.115 Nassau1.Floors.4,Prime Paint @ Pre-function Space,5,,,PFS
NA.PFS130,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Mechanical Finishes @ Pre-function Space,2,,,PFS
NA.PFS140,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Sprinkler Heads @ Pre-function Space,4,,,PFS
NA.PFS150,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Plumbing Finishes @ Pre-function Space,2,1-Dec-15,7-Dec-15,PFS
NA.PFS160,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Electrical Finishes @ Pre-function Space,5,,,PFS
NA.PFS170,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Lighting @ Pre-function Space,4,,,PFS
NA.PFS173,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install FA Devices @ Pre-function Space,5,8-Dec-15,14-Dec-15,PFS
NA.PFS230,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Flooring @ Pre-function Space,6,,,PFS
NA.PFS250,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Architectural Finishes & Trim  @ Pre-function Space,10,17-Dec-15,18-Dec-15,PFS
NA.PFS257,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Millwork @ Pre-function Space,15,,,PFS
NA.PFS262,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Movable Partitions @ Pre-function Space,5,15-Dec-15,16-Dec-15,PFS
NA.PFS280,Not Started,BH.BL-4.115 Nassau1.Floors.4,Perform Plumbing & Sprinkler Finish Inspection @ Pre-function Space,1,21-Dec-15,5-Jan-16,PFS
NA.PFS290,Not Started,BH.BL-4.115 Nassau1.Floors.4,Final Paint @ Pre-function Space,4,,,PFS
NA.PFS300,Not Started,BH.BL-4.115 Nassau1.Floors.4,Punchlist  @ Pre-function Space,5,6-Jan-16,7-Jan-16,PFS
NA.PR010,Not Started,BH.BL-4.115 Nassau1.Floors.4,Layout & Top Track @ Public Restrooms,5,18-Jan-16,20-Jan-16,PR
NA.PR017,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame & Core Board Risers/Stairs/Elevators @ Public Restrooms,10,5-Feb-16,5-Feb-16,PR
