pred_id,succ_id,pred_type,pred_status,succ_status,lag
NA.03090,NA.03170,FS,Not Started,Not Started,0
NA.03110,NA.03123,FS,Not Started,Not Started,0
NA.03120,NA.03200,FS,Not Started,Not Started,0
NA.03123,NA.03230,FS,Not Started,Not Started,0
NA.03127,NA.03250,FS,Not Started,Not Started,0
NA.03140,NA.03280,FS,Not Started,Not Started,0
NA.03150,NA.03280,FS,Not Started,Not Started,0
NA.03160,NA.03250,FS,Not Started,Not Started,0
NA.03190,NA.03260,FS,Not Started,Not Started,0
NA.03197,NA.03250,FS,Not Started,Not Started,0
NA.03230,NA.03295,FS,Not Started,Not Started,0
NA.03260,NA.03270,FS,Not Started,Not Started,0
NA.03010,NA.03012,FS,Not Started,Not Started,0
NA.03060,NA.03090,FS,Not Started,Not Started,0
NA.03120,NA.03130,FS,Not Started,Not Started,0
NA.03123,NA.03295,FS,Not Started,Not Started,0
NA.03190,NA.03290,FS,Not Started,Not Started,0
NA.03120,NA.03127,FS,Not Started,Not Started,0
NA.03190,NA.03197,FS,Not Started,Not Started,0
NA.03120,NA.03175,FS,Not Started,Not Started,0
NA.03190,NA.03245,FS,Not Started,Not Started,0
NA.11M010,NA.11M020,FS,Not Started,Not Started,0
NA.11M012,NA.11M015,FS,Not Started,Not Started,0
NA.11M015,NA.11M110,FF,Not Started,Not Started,5
NA.11M017,NA.11M070,FS,Not Started,Not Started,0
NA.11M020,NA.11M030,SS,Not Started,Not Started,2
NA.11M030,NA.11M040,SS,Not Started,Not Started,2
NA.11M040,NA.11M050,SS,Not Started,Not Started,2
NA.11M050,NA.11M060,SS,Not Started,Not Started,2
NA.11M060,NA.11M070,FS,Not Started,Not Started,0
NA.11M070,NA.11M110,FS,Not Started,Not Started,0
NA.11M080,NA.11M110,FS,Not Started,Not Started,0
NA.11M090,NA.11M160,FS,Not Started,Not Started,0
NA.11M100,NA.11M110,FS,Not Started,Not Started,0
NA.11M110,NA.11M120,FS,Not Started,Not Started,0
NA.11M120,NA.11M180,FS,Not Started,Not Started,0
NA.11M123,NA.11M190,FS,Not Started,Not Started,0
NA.11M127,NA.11M197,FS,Not Started,Not Started,0
NA.11M130,NA.11M140,FS,Not Started,Not Started,0
NA.11M140,NA.11M150,FS,Not Started,Not Started,0
NA.11M150,NA.11M160,FS,Not Started,Not Started,0
NA.11M160,NA.11M170,FS,Not Started,Not Started,0
NA.11M170,NA.11M250,FS,Not Started,Not Started,0
NA.11M175,NA.11M190,FS,Not Started,Not Started,0
NA.11M180,NA.11M190,FS,Not Started,Not Started,0
NA.11M190,NA.11M160,FS,Not Started,Not Started,0
NA.11M194,NA.11M250,FS,Not Started,Not Started,0
NA.11M197,NA.11M245,FS,Not Started,Not Started,0
NA.11M200,NA.11M210,FS,Not Started,Not Started,0
NA.11M210,NA.11M220,FS,Not Started,Not Started,0
NA.11M220,NA.11M240,FS,Not Started,Not Started,0
NA.11M230,NA.11M260,FS,Not Started,Not Started,0
NA.11M240,NA.11M230,FS,Not Started,Not Started,0
NA.11M245,NA.11M230,FS,Not Started,Not Started,0
NA.11M250,NA.11M290,FS,Not Started,Not Started,0
NA.11M260,NA.11M290,FS,Not Started,Not Started,0
NA.11M270,NA.11M290,FS,Not Started,Not Started,0
NA.11M280,NA.11M300,FF,Not Started,Not Started,0
NA.11M290,NA.11M300,FF,Not Started,Not Started,0
NA.11M295,NA.11M300,FF,Not Started,Not Started,0
NA.11M010,NA.11M080,FS,Not Started,Not Started,0
NA.11M012,NA.11M020,FS,Not Started,Not Started,0
NA.11M020,NA.11M030,FF,Not Started,Not Started,2
NA.11M030,NA.11M040,FF,Not Started,Not Started,2
NA.11M040,NA.11M050,FF,Not Started,Not Started,2
NA.11M050,NA.11M060,FF,Not Started,Not Started,2
NA.11M060,NA.11M100,FS,Not Started,Not Started,0
NA.11M070,NA.11M080,FS,Not Started,Not Started,0
NA.11M090,NA.11M170,FS,Not Started,Not Started,0
NA.11M110,NA.11M123,FS,Not Started,Not Started,0
NA.11M120,NA.11M200,FS,Not Started,Not Started,0
NA.11M123,NA.11M230,FS,Not Started,Not Started,0
NA.11M127,NA.11M250,FS,Not Started,Not Started,0
NA.11M140,NA.11M280,FS,Not Started,Not Started,0
NA.11M150,NA.11M280,FS,Not Started,Not Started,0
NA.11M160,NA.11M250,FS,Not Started,Not Started,0
NA.11M190,NA.11M260,FS,Not Started,Not Started,0
NA.11M197,NA.11M250,FS,Not Started,Not Started,0
NA.11M230,NA.11M295,FS,Not Started,Not Started,0
NA.11M260,NA.11M270,FS,Not Started,Not Started,0
NA.11M010,NA.11M012,FS,Not Started,Not Started,0
NA.11M060,NA.11M090,FS,Not Started,Not Started,0
NA.11M120,NA.11M130,FS,Not Started,Not Started,0
NA.11M123,NA.11M295,FS,Not Started,Not Started,0
NA.11M190,NA.11M290,FS,Not Started,Not Started,0
NA.11M120,NA.11M127,FS,Not Started,Not Started,0
NA.11M190,NA.11M197,FS,Not Started,Not Started,0
NA.11M120,NA.11M175,FS,Not Started,Not Started,0
NA.11M190,NA.11M245,FS,Not Started,Not Started,0
